accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8616352081298828,0.9420374631881714,0.3330947458744049,0.8653846383094788,0.918367326259613,0.8529411554336548,0.9285714030265808,0.3751307725906372,0.8999999761581421,0.8571428656578064,9.999999747378752e-06
0.849056601524353,0.9536634087562561,0.3530959188938141,0.9868420958518982,0.7653061151504517,0.8529411554336548,0.9285714030265808,0.390911340713501,0.9444444179534912,0.8095238208770752,9.999999747378752e-06
0.8679245114326477,0.928069531917572,0.3702876567840576,0.8666666746139526,0.9285714030265808,0.8529411554336548,0.9377288818359375,0.32856300473213196,0.8636363744735718,0.9047619104385376,9.999999747378752e-06
0.9433962106704712,0.976078987121582,0.2136395275592804,0.9587628841400146,0.9489796161651611,0.8823529481887817,0.930402934551239,0.3693706691265106,0.9473684430122375,0.8571428656578064,9.999999747378752e-06
0.9308176040649414,0.9793409109115601,0.1824726015329361,0.9780219793319702,0.9081632494926453,0.8823529481887817,0.9358974099159241,0.34880438446998596,0.9473684430122375,0.8571428656578064,9.999999747378752e-06
0.9371069073677063,0.9841920137405396,0.1834699511528015,0.9313725233078003,0.9693877696990967,0.9117646813392639,0.9505494832992554,0.29383546113967896,0.9090909361839294,0.9523809552192688,9.999999747378752e-06
0.9433962106704712,0.9828537702560425,0.16173936426639557,0.9494949579238892,0.9591836929321289,0.8823529481887817,0.9523810148239136,0.2839864492416382,0.9047619104385376,0.9047619104385376,9.999999747378752e-06
0.9371069073677063,0.991719663143158,0.12387420982122421,0.9583333134651184,0.9387755393981934,0.8823529481887817,0.9578754901885986,0.28821706771850586,0.9473684430122375,0.8571428656578064,9.999999747378752e-06
0.9245283007621765,0.9891268014907837,0.1367717981338501,0.9777777791023254,0.8979591727256775,0.9117646813392639,0.9633699655532837,0.27697232365608215,0.9090909361839294,0.9523809552192688,9.999999747378752e-06
0.955974817276001,0.9875376224517822,0.15346191823482513,0.9504950642585754,0.9795918464660645,0.9117646813392639,0.9633699655532837,0.2904517352581024,0.9090909361839294,0.9523809552192688,9.999999747378752e-06
0.9496855139732361,0.9895449280738831,0.12686151266098022,0.978723406791687,0.9387755393981934,0.8823529481887817,0.9450548887252808,0.33036407828330994,0.9473684430122375,0.8571428656578064,9.999999747378752e-06
0.955974817276001,0.9946470260620117,0.09806036204099655,0.9892473220825195,0.9387755393981934,0.8823529481887817,0.9670330286026001,0.3034220337867737,0.8695651888847351,0.9523809552192688,9.999999747378752e-06
0.9433962106704712,0.9882903099060059,0.1426711231470108,0.9494949579238892,0.9591836929321289,0.8823529481887817,0.9652013778686523,0.30616000294685364,0.8695651888847351,0.9523809552192688,2.9999998787388904e-06
0.9874213933944702,0.9979926347732544,0.07578211277723312,1.0,0.9795918464660645,0.9117646813392639,0.9652014970779419,0.2975165545940399,0.9090909361839294,0.9523809552192688,2.9999998787388904e-06
