accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.5849056839942932,0.5521077513694763,0.6915405988693237,0.6269841194152832,0.8061224222183228,0.6176470518112183,0.7362637519836426,0.6756729483604431,0.6176470518112183,1.0,0.0010000000474974513
0.5849056839942932,0.5273503065109253,0.6923885345458984,0.6111111044883728,0.8979591727256775,0.6176470518112183,0.7161172032356262,0.6749657988548279,0.6176470518112183,1.0,0.0010000000474974513
0.6352201104164124,0.6049681901931763,0.6872673630714417,0.6369863152503967,0.9489796161651611,0.6176470518112183,0.7582417726516724,0.6755393743515015,0.6176470518112183,1.0,0.0010000000474974513
0.6352201104164124,0.6320676207542419,0.6831079721450806,0.6492537260055542,0.8877550959587097,0.6764705777168274,0.7289377450942993,0.6756565570831299,0.6785714030265808,0.9047619104385376,0.0010000000474974513
0.6729559898376465,0.6344095468521118,0.6789053678512573,0.6742424368858337,0.9081632494926453,0.6764705777168274,0.7362637519836426,0.6498112678527832,0.65625,1.0,0.0010000000474974513
0.5911949872970581,0.6099866628646851,0.6738278269767761,0.7037037014961243,0.581632673740387,0.7058823704719543,0.7271062135696411,0.6541317105293274,0.739130437374115,0.8095238208770752,0.0010000000474974513
0.5849056839942932,0.6331548690795898,0.670693039894104,0.7222222089767456,0.5306122303009033,0.5588235259056091,0.7014651894569397,0.6802095174789429,0.800000011920929,0.380952388048172,0.0010000000474974513
0.6477987170219421,0.7167112827301025,0.6365362405776978,0.7560975551605225,0.6326530575752258,0.6470588445663452,0.7087912559509277,0.6535525918006897,0.800000011920929,0.5714285969734192,0.0010000000474974513
0.6540880799293518,0.694044828414917,0.6379967331886292,0.7362637519836426,0.6836734414100647,0.6470588445663452,0.7142857313156128,0.6493415832519531,0.800000011920929,0.5714285969734192,0.0003000000142492354
0.704402506351471,0.7298427820205688,0.6239433288574219,0.7865168452262878,0.7142857313156128,0.6470588445663452,0.7124541997909546,0.6564323306083679,0.800000011920929,0.5714285969734192,0.0003000000142492354
0.597484290599823,0.6742221713066101,0.643804132938385,0.7297297120094299,0.5510203838348389,0.529411792755127,0.7124541997909546,0.6958945393562317,0.7777777910232544,0.3333333432674408,0.0003000000142492354
0.6289308071136475,0.7341083884239197,0.6101967096328735,0.7910447716712952,0.5408163070678711,0.6176470518112183,0.7234432101249695,0.6613134145736694,0.7857142686843872,0.523809552192688,0.0003000000142492354
0.6477987170219421,0.7363666892051697,0.6062377095222473,0.7763158082962036,0.6020408272743225,0.6470588445663452,0.7252746820449829,0.6478899717330933,0.800000011920929,0.5714285969734192,9.000000136438757e-05
0.6477987170219421,0.7196386456489563,0.6072369813919067,0.7333333492279053,0.6734693646430969,0.6470588445663452,0.7252746820449829,0.6501644849777222,0.800000011920929,0.5714285969734192,9.000000136438757e-05
0.698113203048706,0.7735865116119385,0.5812329053878784,0.7976190447807312,0.6836734414100647,0.6470588445663452,0.7289377450942993,0.6548827886581421,0.800000011920929,0.5714285969734192,9.000000136438757e-05
0.6540880799293518,0.7094346284866333,0.6243215799331665,0.7654321193695068,0.6326530575752258,0.6176470518112183,0.7289377450942993,0.658896803855896,0.7857142686843872,0.523809552192688,9.000000136438757e-05
0.6792452931404114,0.7494981288909912,0.6000414490699768,0.8051947951316833,0.6326530575752258,0.6176470518112183,0.7271062135696411,0.6601764559745789,0.7857142686843872,0.523809552192688,2.700000004551839e-05
0.6477987170219421,0.7327702045440674,0.5958079695701599,0.7560975551605225,0.6326530575752258,0.6176470518112183,0.7271062135696411,0.6588530540466309,0.7857142686843872,0.523809552192688,2.700000004551839e-05
